Journal,Aims,Label,Rank by SJR,Best Rank,Title_modified,URL,URL_Scimago,SJR index,Best Quartile,H index,Scope,Best Categories,"Biochemistry, Genetics and Molecular Biology",Medicine,Immunology and Microbiology,"Pharmacology, Toxicology and Pharmaceutics",Neuroscience,Health Professions,Nursing,Psychology,Dentistry
Therapeutic Advances in Neurological Disorders,"Therapeutic Advances in Neurological Disorders delivers the highest quality peer reviewed original research articles, reviews, and scholarly comment on pioneering efforts and innovative studies in the medical treatment of neurological conditions. The journal has a strong clinical and pharmacological focus and is aimed at an international audience of clinicians and researchers in neurology and related disciplines, providing an online forum for rapid dissemination of recent research and perspectives in this area.",1340,1041,695,Ther+Adv+Neurol+Disord,https://pubmed.ncbi.nlm.nih.gov/?term=%22Ther+Adv+Neurol+Disord%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=19700174913&tip=sid&clean=0/,"1,436",Q1,68,"Therapeutic Advances in Neurological Disorders delivers the highest quality peer-reviewed original research articles, reviews, and scholarly comment on pioneering efforts and innovative studies in the medical treatment of neurological conditions. The journal has a strong clinical and pharmacological focus and is aimed at an international audience of clinicians and researchers in neurology and related disciplines, providing an online forum for rapid dissemination of recent research and perspectives in this area.",['Neurology (clinical)']; ['Neurology']; ['Pharmacology'],0,1,0,1,1,0,0,0,0
International Journal of Infectious Diseases,"The International Journal of Infectious Diseases  IJID  is published monthly by the International Society for Infectious Diseases. IJID is a peer reviewed, open access journal and publishes original clinical and laboratory based research, together with reports of clinical trials, reviews, and some case reports dealing with the epidemiology, clinical diagnosis, treatment, and control of infectious diseases with particular emphasis placed on those diseases that are most common in under resourced countries.",694,1042,696,Int+J+Infect+Dis,https://pubmed.ncbi.nlm.nih.gov/?term=%22Int+J+Infect+Dis%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=22380&tip=sid&clean=0/,"1,435",Q1,131,"The International Journal of Infectious Diseases (IJID) is published monthly by the International Society for Infectious Diseases. IJID is a peer-reviewed, open access journal and publishes original clinical and laboratory-based research, together with reports of clinical trials, reviews, and some case reports dealing with the epidemiology, clinical diagnosis, treatment, and control of infectious diseases with particular emphasis placed on those diseases that are most common in under-resourced countries.","['Infectious Diseases', 'Medicine (miscellaneous)', 'Microbiology (medical)']",0,1,0,0,0,0,0,0,0
Acta Physiologica,Acta Physiologica is an important forum for the publication of high quality original research in physiology and related areas by authors from all over the world. Acta Physiologica is a leading journal in human translational physiology while promoting all aspects of the science of physiology. The journal publishes full length original articles on important new observations as well as reviews and commentaries.,22,1043,336,Acta+Physiol+Acad+Sci+Hung,https://pubmed.ncbi.nlm.nih.gov/?term=%22Acta+Physiol+Acad+Sci+Hung%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=4000148904&tip=sid&clean=0/,"1,433",Q1,133,Acta Physiologica is an important forum for the publication of high quality original research in physiology and related areas by authors from all over the world. Acta Physiologica is a leading journal in human/translational physiology while promoting all aspects of the science of physiology. The journal publishes full length original articles on important new observations as well as reviews and commentaries.,['Physiology'],1,0,0,0,0,0,0,0,0
Psychology and Aging,"Psychology and Aging  publishes original articles that significantly advance knowledge about adult development and aging. The primary focus of the journal is on reports of novel empirical findings that inform theories related to the psychological science of aging and adult development.Exceptionally strong articles that present theoretical analyses, systematic reviews, methodological critiques or new methodological approaches, or policy recommendations grounded in psychological science are also welcome.Studies of basic principles of adult development and aging and their application are appropriate, as are studies about psychological phenomena and processes of special relevance during adulthood and old age.The journal represents the diversity of topical areas in the psychological science of adult development and aging, including but not limited to, biological bases of behavior, clinical psychology, cognition, cultural and social influences on development, educational psychology, emotion, health psychology, human factors, medical psychology, motivation, neuroscience, personality, and self regulation.",1224,1044,697,Psychol+Aging,https://pubmed.ncbi.nlm.nih.gov/?term=%22Psychol+Aging%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=29802&tip=sid&clean=0/,"1,433",Q2,174,"Psychology and Aging® publishes original articles that significantly advance knowledge about adult development and aging. The primary focus of the journal is on reports of novel empirical findings that inform theories related to the psychological science of aging and adult development.Exceptionally strong articles that present theoretical analyses, systematic reviews, methodological critiques or new methodological approaches, or policy recommendations grounded in psychological science are also welcome.Studies of basic principles of adult development and aging and their application are appropriate, as are studies about psychological phenomena and processes of special relevance during adulthood and old age.The journal represents the diversity of topical areas in the psychological science of adult development and aging, including but not limited to, biological bases of behavior, clinical psychology, cognition, cultural and social influences on development, educational psychology, emotion, health psychology, human factors, medical psychology, motivation, neuroscience, personality, and self-regulation.",['Aging']; ['Geriatrics and Gerontology']; ['Social Psychology'],1,1,0,0,0,0,0,1,0
Endocrinology and Metabolism Clinics of North America,"Endocrinology and Metabolism Clinics of North America updates you on the latest trends in patient management, keeps you abreast of the newest advances, and provides a sound basis for choosing treatment options. Published quarterly in March, June, September, and December each issue features expert, state of the art reviews on a single topic, including obesity, diabetes, thyroid disease, bone disorders, reproduction, hypertension, and much more.",484,1045,699,Endocrinol+Metab+Clin+North+Am,https://pubmed.ncbi.nlm.nih.gov/?term=%22Endocrinol+Metab+Clin+North+Am%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=26062&tip=sid&clean=0/,"1,432",Q1,120,"Endocrinology and Metabolism Clinics of North America updates you on the latest trends in patient management, keeps you abreast of the newest advances, and provides a sound basis for choosing treatment options. Published quarterly—in March, June, September, and December—each issue features expert, state-of-the-art reviews on a single topic, including obesity, diabetes, thyroid disease, bone disorders, reproduction, hypertension, and much more.","['Endocrinology']; ['Endocrinology, Diabetes and Metabolism']",1,1,0,0,0,0,0,0,0
Annals of Behavioral Medicine,"Annals of Behavioral Medicine publishes original empirical articles including reports of randomized controlled trials, observational studies, or other basic and clinical investigations. Integrative and systematic reviews of the evidence for the application of behavioral interventions in health care are also included. Such reviews apply the standards of evidence based medicine and help bridge the gap between basic science and clinical practice in behavioral medicine.",89,1046,698,Ann+Behav+Med,https://pubmed.ncbi.nlm.nih.gov/?term=%22Ann+Behav+Med%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=27473&tip=sid&clean=0/,"1,432",Q1,152,"Annals of Behavioral Medicine publishes original empirical articles including reports of randomized controlled trials, observational studies, or other basic and clinical investigations. Integrative and systematic reviews of the evidence for the application of behavioral interventions in health care are also included. Such reviews apply the standards of evidence-based medicine and help bridge the gap between basic science and clinical practice in behavioral medicine.","['Medicine (miscellaneous)', 'Psychiatry and Mental Health']; ['Psychology (miscellaneous)']",0,1,0,0,0,0,0,1,0
Journal of Orthopaedic and Sports Physical Therapy,"The Journal of Orthopaedic   Sports Physical Therapy   JOSPT   publishes scientifically rigorous content and promotes its application to movement related health. JOSPT  aims to be the leading international source of knowledge for movement related health. To this end, JOSPT features the latest evidence based research and clinical cases in musculoskeletal health, injury, and rehabilitation, including physical therapy, orthopaedics, sports medicine, and biomechanics.The Journal accepts manuscripts for review from any discipline that addresses orthopaedic or sports physical therapy from any relevant perspective, including clinical practice and outcomes, kinesiology, motor behavior, fitness, gerontology, neuroscience, or epidemiology. While clinical implications should be discussed in all manuscripts submitted for review, JOSPT recognizes the importance of all research types in advancing all aspects of musculoskeletal and sports related practice. Accordingly, the Journal seeks to publish research spanning the entire spectrum of clinical, basic, and translational science.",891,1048,701,J+Orthop+Sports+Phys+Ther,https://pubmed.ncbi.nlm.nih.gov/?term=%22J+Orthop+Sports+Phys+Ther%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=19873&tip=sid&clean=0/,"1,431",Q1,145,"The Journal of Orthopaedic & Sports Physical Therapy® (JOSPT®) publishes scientifically rigorous content and promotes its application to movement-related health. JOSPT® aims to be the leading international source of knowledge for movement-related health. To this end, JOSPT features the latest evidence-based research and clinical cases in musculoskeletal health, injury, and rehabilitation, including physical therapy, orthopaedics, sports medicine, and biomechanics.The Journal accepts manuscripts for review from any discipline that addresses orthopaedic or sports physical therapy from any relevant perspective, including clinical practice and outcomes, kinesiology, motor behavior, fitness, gerontology, neuroscience, or epidemiology. While clinical implications should be discussed in all manuscripts submitted for review, JOSPT recognizes the importance of all research types in advancing all aspects of musculoskeletal and sports-related practice. Accordingly, the Journal seeks to publish research spanning the entire spectrum of clinical, basic, and translational science.","['Physical Therapy, Sports Therapy and Rehabilitation', 'Sports Science']; ['Medicine (miscellaneous)']",0,1,0,0,0,1,0,0,0
Development and Psychopathology,"This multidisciplinary journal is devoted to the publication of original, empirical, theoretical and review papers which address the interrelationship of typical and atypical development in children and adults. It is intended to serve the field of developmental psychopathology which strives to understand patterns of adaptation and maladaptation throughout the lifespan. This journal is of interest to psychologists, psychiatrists, social scientists, neuroscientists, paediatricians, and researchers.",436,1049,702,Dev+Psychopathol,https://pubmed.ncbi.nlm.nih.gov/?term=%22Dev+Psychopathol%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=13491&tip=sid&clean=0/,"1,43",Q1,192,"This multidisciplinary journal is devoted to the publication of original, empirical, theoretical and review papers which address the interrelationship of typical and atypical development in children and adults. It is intended to serve the field of developmental psychopathology which strives to understand patterns of adaptation and maladaptation throughout the lifespan. This journal is of interest to psychologists, psychiatrists, social scientists, neuroscientists, paediatricians, and researchers.",['Psychiatry and Mental Health']; ['Developmental and Educational Psychology'],0,1,0,0,0,0,0,1,0
Apoptosis : an international journal on programmed cell death,"Apoptosis is an international peer reviewed journal, published monthly. The Journal is devoted to the rapid publication of innovative basic and clinically oriented investigations into programmed cell death. It aims to stimulate both research on the basis of mechanisms of apoptosis and on its role in various human disease processes including: cancer, autoimmune disease, viral infection, AIDS, cardiovascular disease, neurodegenerative disorders, osteoporosis and ageing. The Editor In Chief recognises the need to encourage the development of clinical therapies against apoptosis related diseases. Original Articles, Reviews, Short Communications, Letters to the Editor and Book Reviews will be considered for publication in Apoptosis.",120,1051,703,Apoptosis+:+an+international+journal+on+programmed+cell+death,https://pubmed.ncbi.nlm.nih.gov/?term=%22Apoptosis+:+an+international+journal+on+programmed+cell+death%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=18403&tip=sid&clean=0/,"1,427",Q1,128,"Apoptosis is an international peer-reviewed journal, published monthly. The Journal is devoted to the rapid publication of innovative basic and clinically-oriented investigations into programmed cell death. It aims to stimulate both research on the basis of mechanisms of apoptosis and on its role in various human disease processes including: cancer, autoimmune disease, viral infection, AIDS, cardiovascular disease, neurodegenerative disorders, osteoporosis and ageing. The Editor-In-Chief recognises the need to encourage the development of clinical therapies against apoptosis-related diseases. Original Articles, Reviews, Short Communications, Letters to the Editor and Book Reviews will be considered for publication in Apoptosis.","['Clinical Biochemistry']; ['Biochemistry (medical)']; ['Pharmaceutical Science', 'Pharmacology']",1,1,0,1,0,0,0,0,0
International Immunology,International Immunology is an online only  from Jan 2018  journal that publishes basic research and clinical studies from all areas of immunology and includes research conducted in laboratories throughout the world.,677,1052,704,Int+Immunol,https://pubmed.ncbi.nlm.nih.gov/?term=%22Int+Immunol%22%5BJournal%5D&filter=simsearch1.fha&filter=dates.2021%2F1%2F1-3000%2F12%2F12,https://www.scimagojr.com/journalsearch.php?q=21245&tip=sid&clean=0/,"1,427",Q1,148,International Immunology is an online only (from Jan 2018) journal that publishes basic research and clinical studies from all areas of immunology and includes research conducted in laboratories throughout the world.,"['Immunology']; ['Immunology and Allergy', 'Medicine (miscellaneous)']",0,1,1,0,0,0,0,0,0
